,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,시간적범위,평일주말,혼잡빈도강도,혼잡시간강도
23,1057052,0,시군도,0.629,청대로,강원도  속초시,전일,평일,24,53
24,1057053,0,시군도,0.629,청대로,강원도  속초시,전일,평일,19,45
25,1057054,2550114800,시군도,0.22,온천로,강원도  속초시,전일,평일,41,67
26,1057055,2550114700,시군도,0.258,온천로,강원도  속초시,전일,평일,39,58
27,1057056,"255,000,770,025,500,000,000,000,000,000",국가지원지방도,2.969,미시령로,강원도  속초시,전일,평일,23,32
28,1057057,"255,000,780,025,500,000,000,000,000,000",국가지원지방도,2.969,미시령로,강원도  속초시,전일,평일,28,40
29,1057058,0,국가지원지방도,0.023,동해대로,강원도  속초시,전일,평일,99,99
127,1057059,0,시군도,0.08,중앙로,강원도  고성군,전일,평일,1,3
128,1057060,0,시군도,0.074,동해대로,강원도  고성군,전일,평일,42,50
129,1057061,"2,550,011,200,266,000,000,000,000,000,000,000,000,000",일반국도,3.471,동해대로,강원도  고성군,전일,평일,56,64
130,1057062,"2,550,011,100,266,000,000,000,000,000,000,000,000,000",일반국도,3.471,동해대로,강원도  고성군,전일,평일,45,51
131,1057063,0,시군도,0.195,중앙로,강원도  고성군,전일,평일,3,5
132,1057064,2660001300,일반국도,0.02,동해대로,강원도  고성군,전일,평일,71,75
133,1057065,2660001400,일반국도,0.02,동해대로,강원도  고성군,전일,평일,47,56
134,1057066,2660001600,일반국도,0.175,동해대로,강원도  고성군,전일,평일,82,89
135,1057067,2660001500,일반국도,0.175,동해대로,강원도  고성군,전일,평일,86,93
30,1057068,0,국가지원지방도,0.205,동해대로,강원도  속초시,전일,평일,78,89
31,1057069,2550011200,일반국도,0.397,동해대로,강원도  속초시,전일,평일,96,98
32,1057070,2550011100,일반국도,0.397,동해대로,강원도  속초시,전일,평일,90,93
136,1057071,0,시군도,0.571,동해대로,강원도  고성군,전일,평일,3,11
137,1057072,0,시군도,0.06,동해대로,강원도  고성군,전일,평일,81,90
138,1057073,0,시군도,0.051,동해대로,강원도  고성군,전일,평일,1,4
139,1057074,0,시군도,0.021,중앙로,강원도  고성군,전일,평일,10,19
140,1057075,0,시군도,0.193,동해대로,강원도  고성군,전일,평일,1,9
33,1057076,"255,000,140,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.812,동해대로,강원도  속초시,전일,평일,99,99
34,1057077,2550001100,일반국도,0.32,동해대로,강원도  속초시,전일,평일,99,99
35,1057078,0,국가지원지방도,0.031,동해대로,강원도  속초시,전일,평일,99,99
36,1057079,0,국가지원지방도,0.028,동해대로,강원도  속초시,전일,평일,99,99
37,1057080,0,국가지원지방도,0.204,동해대로,강원도  속초시,전일,평일,85,89
141,1057081,0,시군도,0.039,동해대로,강원도  고성군,전일,평일,87,95
142,1057082,0,시군도,0.081,중앙로,강원도  고성군,전일,평일,1,2
38,1057083,"25,501,135,002,550,100,000",시군도,2.799,온천로,강원도  속초시,전일,평일,5,16
39,1057084,2550113300,시군도,1.686,관광로,강원도  속초시,전일,평일,9,27
40,1057085,0,국가지원지방도,0.144,동해대로,강원도  속초시,전일,평일,96,99
41,1057086,"25,500,068,002,550,000,000",일반국도,0.337,동해대로,강원도  속초시,전일,평일,99,99
42,1057087,2550006500,일반국도,0.17,동해대로,강원도  속초시,전일,평일,99,99
143,1057088,2660001500,일반국도,0.638,동해대로,강원도  고성군,전일,평일,54,59
144,1057089,2660001600,일반국도,0.638,동해대로,강원도  고성군,전일,평일,49,55
145,1057090,0,시군도,0.375,동해대로,강원도  고성군,전일,평일,5,7
43,1057091,0,국가지원지방도,0.135,동해대로,강원도  속초시,전일,평일,96,99
44,1057092,0,국가지원지방도,0.025,동해대로,강원도  속초시,전일,평일,82,98
45,1057093,0,국가지원지방도,0.036,동해대로,강원도  속초시,전일,평일,97,99
146,1057465,"26,600,123,002,660,000,000",시군도,0.972,진부령로,강원도  고성군,전일,평일,1,6
147,1057466,"26,600,124,002,660,000,000",시군도,0.972,진부령로,강원도  고성군,전일,평일,1,6
148,1057467,"266,001,150,026,600,000,000,000,000,000",일반국도,0.461,간성로,강원도  고성군,전일,평일,100,100
149,1057468,"266,001,160,026,600,000,000,000,000,000",일반국도,0.461,간성로,강원도  고성군,전일,평일,99,99
150,1057469,2660122500,일반국도,0.714,동해대로,강원도  고성군,전일,평일,99,99
151,1057470,2660122300,일반국도,0.714,동해대로,강원도  고성군,전일,평일,100,100
152,1057471,"26,600,097,012,660,000,000,000,000,000,000,000,000,000,000,000,000",시군도,1.304,간성로,강원도  고성군,전일,평일,29,52
153,1057472,"26,600,098,022,660,000,000,000,000,000,000,000,000,000,000,000,000",시군도,1.304,간성로,강원도  고성군,전일,평일,27,48
154,1057473,2660124800,일반국도,0.198,동해대로,강원도  고성군,전일,평일,90,95
155,1057474,2660124700,일반국도,0.198,동해대로,강원도  고성군,전일,평일,99,99
156,1057475,2660009702,시군도,0.138,동해대로,강원도  고성군,전일,평일,5,11
157,1057476,2660009801,시군도,0.072,수성로,강원도  고성군,전일,평일,46,75
158,1057477,2660009702,시군도,0.072,수성로,강원도  고성군,전일,평일,11,29
159,1057478,2660124600,시군도,0.14,간성로,강원도  고성군,전일,평일,51,78
160,1057479,2660124500,시군도,0.14,간성로,강원도  고성군,전일,평일,31,49
161,1057480,2660123800,일반국도,0.699,동해대로,강원도  고성군,전일,평일,66,74
162,1057481,2660123700,일반국도,0.699,동해대로,강원도  고성군,전일,평일,86,93
163,1057482,2660122800,일반국도,0.101,동해대로,강원도  고성군,전일,평일,40,47
164,1057483,2660122900,일반국도,0.101,동해대로,강원도  고성군,전일,평일,75,88
165,1057484,2660012601,시군도,0.078,진부령로,강원도  고성군,전일,평일,55,75
166,1057485,2660122600,일반국도,0.147,동해대로,강원도  고성군,전일,평일,61,69
167,1057486,2660122400,일반국도,0.147,동해대로,강원도  고성군,전일,평일,40,47
168,1057487,2660122900,일반국도,0.592,동해대로,강원도  고성군,전일,평일,44,48
169,1057488,2660122800,일반국도,0.592,동해대로,강원도  고성군,전일,평일,36,44
