,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,혼잡빈도강도,혼잡시간강도,혼잡기대강도
227,7109262,"2660117400,2660117800,2660118400",일반국도,1.14,동해대로,강원도  고성군,36.0,43.0,32.0
228,7109263,"2,660,013,000,266,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,14.551,동해대로,강원도  고성군,53.0,61.0,35.0
229,7109263,"2660013000,2660013100,2660013802,2660014001,2660118300,2660118700,2660121700,2660122400,2660160400,2660161400",일반국도,14.551,동해대로,강원도  고성군,51.0,58.0,35.0
230,7109322,"2,550,011,600,255,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",국가지원지방도,1.733,미시령로,강원도  고성군,13.0,20.0,43.0
231,7109322,"2550011600,2550012403,2660014800,2660014900,2660015400,2660015600,2660015800",국가지원지방도,1.733,미시령로,강원도  고성군,14.0,20.0,42.0
232,7109323,"2,550,011,500,255,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",국가지원지방도,1.733,미시령로,강원도  고성군,22.0,31.0,43.0
233,7109323,"2550011500,2550012302,2660014700,2660015000,2660015300,2660015500,2660015700",국가지원지방도,1.733,미시령로,강원도  고성군,21.0,29.0,43.0
234,7109603,"2,550,011,300,255,000,000,000,000,000,000,000,000,000",국가지원지방도,1.155,미시령로,강원도  속초시,31.0,44.0,42.0
235,7109603,"2550011300,2550011900,2550012100,2550012303",국가지원지방도,1.155,미시령로,강원도  속초시,31.0,42.0,39.0
236,7109604,"2,550,011,400,255,000,000,000,000,000,000,000,000,000",국가지원지방도,1.155,미시령로,강원도  속초시,40.0,57.0,46.0
237,7109604,"2550011400,2550012000,2550012200,2550012402",국가지원지방도,1.155,미시령로,강원도  속초시,38.0,53.0,44.0
238,8107591,"255,011,410,025,501,000,000,000,000,000",시군도,1.801,장재터마을길,강원도  속초시,4.0,11.0,73.0
239,8107591,"2550114100,2550114300,2670180500",시군도,1.801,장재터마을길,강원도  속초시,4.0,8.0,63.0
